1,京大近くのうどん屋を教えて,京大/近く/の/うどん/屋/を/教え/て,B-place/I-place/O/B-genre/I-genre/O/O/O
2,四条付近に美味しい餃子屋さんはありますか,四条/付近/に/美味しい/餃子/屋/さん/は/あり/ます/か,B-place/I-place/O/B-rate/B-genre/I-genre/I-genre/O/O/O/O
3,京都駅付近で牛丼屋はありますか,京都/駅/付近/で/牛/丼/屋/は/あり/ます/か,B-place/I-place/I-place/O/B-genre/I-genre/I-genre/O/O/O/O
4,三条のカレー屋を探しています,三条/の/カレー/屋/を/探し/て/い/ます,B-place/O/B-genre/I-genre/O/O/O/O/O
5,金閣寺の近くにラーメン屋はありますか,金閣寺/の/近く/に/ラーメン/屋/は/あり/ます/か,B-place/I-place/I-place/O/B-genre/I-genre/O/O/O/O
6,京都駅のハンバーガ,京都/駅/の/ハンバーガ,B-place/I-place/O/B-genre
7,三条駅近くのお寿司屋さん,三条/駅/近く/の/お/寿司/屋/さん,B-place/I-place/I-place/O/B-genre/I-genre/I-genre/I-genre
8,銀閣寺の近くの高級料亭の場所を検索して,銀閣寺/の/近く/の/高級/料亭/の/場所/を/検索/し/て,B-place/I-place/I-place/O/B-genre/I-genre/O/O/O/O/O/O
9,京都御所周りで定食屋に行きたい,京都/御所/周り/で/定食/屋/に/行き/たい,B-place/I-place/I-place/O/B-genre/I-genre/O/O/O
10,清水寺周辺でステーキ屋を探したいな,清水寺/周辺/で/ステーキ/屋/を/探し/たい/な,B-place/I-place/O/B-genre/I-genre/O/O/O/O
11,蕎麦屋は祇園付近にありますか,蕎麦/屋/は/祇園/付近/に/あり/ます/か,B-genre/I-genre/O/B-place/I-place/O/O/O/O
12,ハンバーグ屋を二条城周りで探しています,ハンバーグ/屋/を/二条城/周り/で/探し/て/い/ます,B-genre/I-genre/O/B-place/I-place/O/O/O/O/O
13,百万遍近くのラーメン屋はどこにありますか,百/万/遍/近く/の/ラーメン/屋/は/どこ/に/あり/ます/か,B-place/I-place/I-place/I-place/O/B-genre/I-genre/O/O/O/O/O/O
14,出町柳付近の食堂へ行きたいな,出町柳/付近/の/食堂/へ/行き/たい/な,B-place/I-place/O/B-genre/O/O/O/O
15,大学付近のカフェを教えて,大学/付近/の/カフェ/を/教え/て,B-place/I-place/O/B-genre/O/O/O
16,喫茶店とか清水寺の近くにないかな,喫茶店/とか/清水寺/の/近く/に/ない/か/な,B-genre/O/B-place/I-place/I-place/O/O/O/O
17,イタリアンレストランを四条烏丸あたりで探して,イタリアン/レストラン/を/四条/烏丸/あたり/で/探し/て,B-genre/I-genre/O/B-place/I-place/I-place/O/O/O
18,フランス料理レストランに行きたいんだけど京都駅近くにないかな,フランス/料理/レストラン/に/行き/たい/ん/だ/けど/京都/駅/近く/に/ない/か/な,B-genre/I-genre/I-genre/O/O/O/O/O/O/B-place/I-place/I-place/O/O/O/O
19,天丼を食べたいんだけど三条あたりで探して,天丼/を/食べ/たい/ん/だ/けど/三条/あたり/で/探し/て,B-genre/O/O/O/O/O/O/B-place/I-place/O/O/O
20,一乗寺のラーメン屋を教えて,一乗寺/の/ラーメン/屋/を/教え/て,B-place/O/B-genre/I-genre/O/O/O
