1	左京区の明日の天気を教えて
2	明日京都は晴れですか
3	来週の天気を教えて
4	明後日の天気は
5	明日の東京の降水確率を教えて
6	明日の夜は晴れそうですか
7	来週雪は降りますか
8	明日の東京の風速を教えて
9	明日の降水量はどのくらいですか
10	来週の月曜日は晴れますか
11	明日は寒いですか
12	今日の最高気温は何度ですか
13	今朝の最低気温は何度でしたか
14	福岡の天気を教えて
15	大阪は雨が降っていますか
16	札幌は晴れていますか
17	今日の浜松の最高気温は何度ですか
18	先週の熊谷の最高気温を教えてください
19	この雨はいつまで続きますか
20	来週の最高気温を教えてください
21	今夜は何時ごろから雨が降りますか
22	名古屋の明後日の降水確率を教えてください
23	沖縄の気温はどれくらいですか
24	千葉は晴れていますか
25	青森の雪はどれくらい降りそうですか
26	来週の仙台の天気を教えて
27	来週の金曜日は仙台は晴れますか
28	明日の降水量を教えてください
29	沖縄の最高気温はどうですか
30	明日のお昼は気温は何度まで上がりそうですか
31	釧路の最低気温を教えてください
32	広島の来週の天気を教えて
33	京都の週末の天気はどう
34	週末は晴れますか
35	明日の鹿児島は風が強いですか
36	明日の青森の最高気温を教えてください
37	明日は雪が降りますか
38	明日の朝はどれくらい寒いですか
39	明日も東京は曇りですか
40	来週はいつごろまで雨が続きますか
41	明日も暑いですか
42	今週はいつまで暑いですか
43	明日の東京の気温を教えてください
44	ニューヨークの天気を教えて
45	ロサンゼルスの気温を教えて
46	明後日はどれくらい雨がふりそうですか
47	明日の朝はどれくらい冷えますか
48	奈良と大阪の天気を教えてください
49	何時間後に雨が降りますか
50	明日の正午には雨は止みますか
51	明後日はお昼から晴れますか
52	この時期の新潟はどれくらい寒いですか
53	来週の金沢はどれくらい晴れますか
54	明日の京都の降水確率は
55	木曜日の熊本の天気はどう
56	明後日の埼玉の天気は
57	金曜日の京都はどれくらい暑くなりそうですか
58	土曜日は何時ごろから雨が降りそうですか
59	この後雨は降りそうですか
60	明日の佐賀は寒いですか
61	明日の佐賀の最低気温を教えてください
62	雨はいつ頃止みますか
63	明日雪はどれくらい積もりそうですか
64	雷はいつ頃止みますか
65	明日雷は鳴りますか
66	どのくらいで霧は晴れますか
67	今日の夜は雨が降りますか
68	明日の京都の最大風速を教えて
69	来週の大阪の降水確率は
70	気温が暖かくなるのはいつ頃ですか
71	明後日の雨量はどれくらいですか
72	大阪の風速はどのくらいですか
73	東京の日曜日の降水確率を教えて
74	明日東京は快晴ですか
75	明日砂塵は吹きますか
76	来週あられは降りますか
77	東京は雷雨ですか
78	今日は夕立は降りそうですか
79	京都にひょうは降っていますか
80	これから雨は強くなりそうですか
81	兵庫の雨は止んでいますか
82	今日は雨は降らないですか
83	明後日の京都の風速はどう
84	今週は何曜日が一番寒くなりますか
85	来週一番暑いのはいつですか
86	今年は東京に雪は降るかな
87	来週大雨は降るの
88	今の気温は
89	週末の沖縄の最大風速はどれくらいですか
90	来週で晴れる曜日を教えて
91	京都の一週間の天気を教えて
92	雪はいつ頃降り始める
93	いつぐらいから暖かくなり始めますか
94	雨はどれくらい続くの
95	雨はどのくらい降るの
96	今日は風は強いの
97	今日日本で一番暑い地域はどこ
98	来月雪は降りそうですか
99	雨雲は京都にかかっていますか
100	火曜日の京都の降水確率を教えて
